Project Name,Transacted Price ($),Area (SQFT),Street Name,Type of Sale,Type of Area,Property Type,Number of Units,Postal District,Market Segment,Data_Source,Year,Month,start_floor,end_floor,is_freehold,lease_duration_years,lease_commencement_year,remaining_lease_years,lease_age_at_sale,lease_maturity_ratio,lease_category_encoded,is_peak_season,is_november,quarter,month_sin,month_cos
LUMIERE,1843970.0,1001.05,MISTRI ROAD,Resale,Strata,Apartment,1.0,2.0,Core Central Region,train,21,8,41,45,0,99,2006,84,15,0.15151515151515152,1,0,0,3,-0.8660254037844384,-0.5000000000000004
LENTOR MANSION,1550000.0,656.6,LENTOR GARDENS,New Sale,Strata,Apartment,1.0,26.0,Outside Central Region,train,24,3,11,15,0,99,2023,98,1,0.010101010101010102,1,0,0,1,1.0,6.123233995736766e-17
THE GLADES,1030000.0,624.31,BEDOK RISE,Resale,Strata,Condominium,1.0,16.0,Outside Central Region,train,23,12,6,10,0,99,2013,89,10,0.10101010101010101,1,0,0,4,-2.4492935982947064e-16,1.0
KENT RIDGE HILL RESIDENCES,1837184.0,947.23,SOUTH BUONA VISTA ROAD,New Sale,Strata,Apartment,1.0,5.0,Rest of Central Region,train,21,6,1,5,0,99,2018,96,3,0.030303030303030304,1,0,0,2,1.2246467991473532e-16,-1.0
COTE D'AZUR,2400000.0,1367.03,MARINE PARADE ROAD,Resale,Strata,Condominium,1.0,15.0,Rest of Central Region,train,23,8,6,10,0,99,2001,77,22,0.2222222222222222,2,0,0,3,-0.8660254037844384,-0.5000000000000004
HIGH PARK RESIDENCES,1002000.0,667.37,FERNVALE ROAD,Resale,Strata,Apartment,1.0,28.0,Outside Central Region,train,23,2,16,20,0,99,2014,90,9,0.09090909090909091,1,0,0,1,0.8660254037844386,0.5000000000000001
THE RAINTREE,1430000.0,1270.15,BUKIT DRIVE,Resale,Strata,Condominium,1.0,21.0,Outside Central Region,train,21,1,6,10,0,99,2003,81,18,0.18181818181818182,1,0,0,1,0.49999999999999994,0.8660254037844387
26 NEWTON,1870000.0,775.01,NEWTON ROAD,Resale,Strata,Apartment,1.0,11.0,Core Central Region,train,21,8,21,25,1,9999,0,9999,0,0.0,0,0,0,3,-0.8660254037844384,-0.5000000000000004
SYMPHONY SUITES,860000.0,688.9,YISHUN CLOSE,Resale,Strata,Condominium,1.0,27.0,Outside Central Region,train,24,1,1,5,0,99,2014,89,10,0.10101010101010101,1,0,0,1,0.49999999999999994,0.8660254037844387
TREE HOUSE,2291500.0,1636.13,CHESTNUT AVENUE,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,24,9,1,5,0,99,2009,84,15,0.15151515151515152,1,0,0,3,-1.0,-1.8369701987210297e-16
DAIRY FARM RESIDENCES,1343600.0,764.24,DAIRY FARM LANE,New Sale,Strata,Apartment,1.0,23.0,Outside Central Region,train,22,6,11,15,0,99,2018,95,4,0.04040404040404041,1,0,0,2,1.2246467991473532e-16,-1.0
BREEZE BY THE EAST,1880000.0,1248.62,UPPER EAST COAST ROAD,Resale,Strata,Condominium,1.0,16.0,Outside Central Region,train,24,9,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-1.0,-1.8369701987210297e-16
THE CREEK @ BUKIT,1330000.0,742.72,TOH TUCK ROAD,Resale,Strata,Condominium,1.0,21.0,Rest of Central Region,train,21,8,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-0.8660254037844384,-0.5000000000000004
THE BOTANY AT DAIRY FARM,2121000.0,1076.4,DAIRY FARM WALK,New Sale,Strata,Condominium,1.0,23.0,Outside Central Region,train,24,2,1,5,0,99,2022,97,2,0.020202020202020204,1,0,0,1,0.8660254037844386,0.5000000000000001
ONE BERNAM,1891000.0,807.3,BERNAM STREET,New Sale,Strata,Apartment,1.0,2.0,Core Central Region,train,21,5,6,10,0,99,2019,97,2,0.020202020202020204,1,0,0,2,0.49999999999999994,-0.8660254037844387
EASTPOINT GREEN,1188000.0,1173.28,SIMEI STREET 3,Resale,Strata,Condominium,1.0,18.0,Outside Central Region,train,22,8,6,10,0,99,1996,73,26,0.26262626262626265,2,0,0,3,-0.8660254037844384,-0.5000000000000004
JERVOIS REGENCY,2368000.0,1216.33,JERVOIS ROAD,Resale,Strata,Apartment,1.0,10.0,Core Central Region,train,24,1,1,5,1,9999,0,9999,0,0.0,0,0,0,1,0.49999999999999994,0.8660254037844387
SILVERSEA,2500000.0,1582.31,MARINE PARADE ROAD,Resale,Strata,Condominium,1.0,15.0,Rest of Central Region,train,21,10,1,5,0,99,2007,85,14,0.1414141414141414,1,1,0,4,-0.8660254037844386,0.5000000000000001
THE BEVERLY,3100000.0,2023.63,TOH TUCK ROAD,Resale,Strata,Apartment,1.0,21.0,Rest of Central Region,train,24,2,1,5,1,9999,0,9999,0,0.0,0,0,0,1,0.8660254037844386,0.5000000000000001
PARK INFINIA AT WEE NAM,3570000.0,1463.9,LINCOLN ROAD,Resale,Strata,Condominium,1.0,11.0,Core Central Region,train,24,10,1,5,1,9999,0,9999,0,0.0,0,1,0,4,-0.8660254037844386,0.5000000000000001
WESTCOVE CONDOMINIUM,1400000.0,1259.39,WEST COAST CRESCENT,Resale,Strata,Condominium,1.0,5.0,Outside Central Region,train,22,8,1,5,0,99,1995,72,27,0.2727272727272727,2,0,0,3,-0.8660254037844384,-0.5000000000000004
WATERBANK AT DAKOTA,1962000.0,1130.22,DAKOTA CRESCENT,Resale,Strata,Condominium,1.0,14.0,Rest of Central Region,train,21,7,6,10,0,99,2009,87,12,0.12121212121212122,1,0,0,3,-0.4999999999999998,-0.8660254037844388
MIDTOWN MODERN,1223640.0,409.03,TAN QUEE LAN STREET,New Sale,Strata,Apartment,1.0,7.0,Core Central Region,train,21,3,11,15,0,99,2019,97,2,0.020202020202020204,1,0,0,1,1.0,6.123233995736766e-17
CASPIAN,1165000.0,1001.05,LAKESIDE DRIVE,Resale,Strata,Condominium,1.0,22.0,Outside Central Region,train,22,4,11,15,0,99,2008,85,14,0.1414141414141414,1,0,0,2,0.8660254037844387,-0.49999999999999983
CAPE ROYALE,3528000.0,1679.18,COVE WAY,Resale,Strata,Condominium,1.0,4.0,Core Central Region,train,22,7,6,10,0,99,2008,85,14,0.1414141414141414,1,0,0,3,-0.4999999999999998,-0.8660254037844388
