Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
FORETT@BUKIT TIMAH,"1,194.8",Nov-20,TOH TUCK ROAD,New Sale,Strata,111,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,2072000
KOVAN REGENCY,"1,001.05",Mar-23,KOVAN RISE,Resale,Strata,93,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05,1460000
THE MINTON,559.73,Mar-24,HOUGANG STREET 11,Resale,Strata,52,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10,818000
LIVIA,"1,259.39",Mar-23,PASIR RIS GROVE,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15,1480000
STIRLING RESIDENCES,688.9,Nov-24,STIRLING ROAD,Resale,Strata,64.0,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10,1580000
TIERRA VUE,"1,216.33",Mar-21,ST. PATRICK'S ROAD,Resale,Strata,113,Condominium,1,Freehold,15,Outside Central Region,01 to 05,2180000
LE CRESCENDO,947.23,Mar-23,PAYA LEBAR ROAD,Resale,Strata,88,Condominium,1,Freehold,14,Rest of Central Region,11 to 15,1468000
NEPTUNE COURT,"1,270.15",Oct-21,MARINE VISTA,Resale,Strata,118,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05,1120000
ONE MEYER,613.55,Oct-20,MEYER PLACE,New Sale,Strata,57,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,1582000
CANNINGHILL PIERS,828.83,Nov-21,CLARKE QUAY,New Sale,Strata,77,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,36 to 40,2410000
THE PEARL @ MOUNT FABER,"1,162.51",Nov-22,MOUNT FABER ROAD,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 2002,4,Rest of Central Region,06 to 10,1638000
