Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
THE AZURE,"1,733",Apr-21,OCEAN DRIVE,Resale,Strata,161,Condominium,1,99 yrs lease commencing from 2005,4,Core Central Region,01 to 05,2268888
FLORAVIEW,376.74,Jan-22,ANG MO KIO STREET 66,Resale,Strata,35,Apartment,1,Freehold,20,Outside Central Region,01 to 05,550000
LIVIA,914.94,May-24,PASIR RIS GROVE,Resale,Strata,85,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,16 to 20,1099000
FORETT@BUKIT TIMAH,721.19,Dec-23,TOH TUCK ROAD,Sub Sale,Strata,67.0,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1662000
NEWTON LODGE,"1,216.33",Jul-21,NEWTON ROAD,Resale,Strata,113,Apartment,1,Freehold,11,Core Central Region,01 to 05,1850000
MARINA COLLECTION,"3,412.19",Mar-21,COVE DRIVE,Resale,Strata,317,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05,6250000
D'LEEDON,785.77,Dec-21,LEEDON HEIGHTS,Resale,Strata,73,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20,1420000
WALLICH RESIDENCE,"1,313.21",Oct-21,WALLICH STREET,Resale,Strata,122,Apartment,1,99 yrs lease commencing from 2011,2,Core Central Region,46 to 50,4220000
FORESQUE RESIDENCES,"2,206.62",Apr-24,PETIR ROAD,Resale,Strata,205,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,21 to 25,2310000
CANNINGHILL PIERS,818.06,Nov-21,CLARKE QUAY,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,01 to 05,2182000
FLAMINGO VALLEY,818.06,Aug-21,SIGLAP ROAD,Resale,Strata,76,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1187000
TWIN VEW,"1,054.87",Feb-24,WEST COAST VALE,Resale,Strata,98,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,01 to 05,1800000
SERENITY PARK,"1,323.97",Sep-21,TAMARIND ROAD,Resale,Strata,123,Condominium,1,Freehold,28,Outside Central Region,01 to 05,1460000
SUNVILLE,"1,162.51",Aug-23,ST. MICHAEL'S ROAD,Resale,Strata,108.0,Apartment,1,Freehold,12,Rest of Central Region,01 to 05,1480000
CHANGI GREEN,"1,431.61",Dec-24,UPPER CHANGI ROAD EAST,Resale,Strata,133.0,Condominium,1,Freehold,16,Outside Central Region,01 to 05,1770000
PINETREE HILL,764.24,Jul-23,PINE GROVE,New Sale,Strata,71.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20,1820000
RIVERFRONT RESIDENCES,462.85,Aug-20,HOUGANG AVENUE 7,New Sale,Strata,43,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,733000
HILLHAVEN,958,Sep-24,HILLVIEW RISE,New Sale,Strata,89.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,16 to 20,2008224
SKYLINE 360 @ SAINT THOMAS WALK,"2,131.27",Mar-23,ST. THOMAS WALK,Resale,Strata,198,Condominium,1,Freehold,9,Core Central Region,21 to 25,5700000
NINE RESIDENCES,570.49,Aug-22,YISHUN AVENUE 9,Resale,Strata,53,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,01 to 05,715000
AMBER PARK,548.96,Jul-21,AMBER GARDENS,New Sale,Strata,51,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1288990
WHISTLER GRAND,958,Aug-20,WEST COAST VALE,New Sale,Strata,89,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,31 to 35,1476000
SKY VUE,796.54,Sep-22,BISHAN STREET 15,Resale,Strata,74,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,06 to 10,1438000
VENTANA,"1,184.04",Nov-20,PASIR PANJANG HILL,Resale,Strata,110,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,1400000
ARDMORE PARK,"2,884.75",Nov-21,ARDMORE PARK,Resale,Strata,268,Condominium,1,Freehold,10,Core Central Region,21 to 25,11000000
SIMS URBAN OASIS,484.38,Apr-24,SIMS DRIVE,Resale,Strata,45,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15,860000
CASPIAN,"1,399.32",Oct-22,LAKESIDE DRIVE,Resale,Strata,130,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,11 to 15,1915888
THE REEF AT KING'S DOCK,538.2,Jan-21,HARBOURFRONT AVENUE,New Sale,Strata,50,Condominium,1,99 yrs lease commencing from 2021,4,Rest of Central Region,01 to 05,1281515
BEAUTY WORLD CENTRE,"1,872.94",Oct-24,UPPER BUKIT TIMAH ROAD,Resale,Strata,174.0,Apartment,1,99 yrs lease commencing from 1979,21,Rest of Central Region,11 to 15,2075000
ASPEN HEIGHTS,"1,323.97",Sep-20,RIVER VALLEY ROAD,Resale,Strata,123,Condominium,1,999 yrs lease commencing from 1841,9,Core Central Region,06 to 10,2318000
THE FLORENCE RESIDENCES,796.54,May-22,HOUGANG AVENUE 2,New Sale,Strata,74,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20,1273000
HILLOCK GREEN,624.31,Nov-23,LENTOR CENTRAL,New Sale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,1317000
SUITES @ PAYA LEBAR,365.98,Jul-21,UPPER PAYA LEBAR ROAD,Resale,Strata,34,Apartment,1,Freehold,19,Outside Central Region,01 to 05,540000
MARINA BAY RESIDENCES,"1,636.13",Nov-24,MARINA BOULEVARD,Resale,Strata,152.0,Condominium,1,99 yrs lease commencing from 2005,1,Core Central Region,36 to 40,3900000
J'DEN,527.44,Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,49.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,1231000
D'LEEDON,635.08,Aug-21,LEEDON HEIGHTS,Resale,Strata,59,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25,1128000
CAVENDISH PARK,925.7,Dec-21,PINE GROVE,Resale,Strata,86,Condominium,1,99 yrs lease commencing from 1991,21,Rest of Central Region,01 to 05,1380000
PULLMAN RESIDENCES NEWTON,"1,162.51",Jun-21,DUNEARN ROAD,New Sale,Strata,108,Apartment,1,Freehold,11,Core Central Region,01 to 05,3050000
GRAND DUNMAN,"1,119.46",Jul-23,DUNMAN ROAD,New Sale,Strata,104.0,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,2777000
J GATEWAY,527.44,Aug-22,GATEWAY DRIVE,Resale,Strata,49,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,01 to 05,920000
BOTANIQUE AT BARTLEY,495.14,Nov-22,UPPER PAYA LEBAR ROAD,Resale,Strata,46,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15,880000
LENTOR MODERN,"1,108.69",Sep-22,LENTOR CENTRAL,New Sale,Strata,103,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,16 to 20,2370060
THE BECCAGAYLE,"1,367.03",May-23,LORONG N TELOK KURAU,Resale,Strata,127,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1890000
SELETAR PARK RESIDENCE,581.26,May-24,SELETAR ROAD,Resale,Strata,54,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05,810000
NORMANTON PARK,656.6,Aug-24,NORMANTON PARK,Sub Sale,Strata,61.0,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,1330000
SKYSUITES@ANSON,699.66,Oct-22,ENGGOR STREET,Resale,Strata,65,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,11 to 15,1330000
NORMANTON PARK,"1,097.93",Jan-21,NORMANTON PARK,New Sale,Strata,102,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,1972941
MELVILLE PARK,"1,162.51",Nov-22,SIMEI STREET 1,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05,970000
EDELWEISS PARK CONDOMINIUM,710.42,Sep-22,FLORA ROAD,Resale,Strata,66,Condominium,1,Freehold,17,Outside Central Region,01 to 05,735000
MENDON SPRING,"1,054.87",Sep-22,PASIR PANJANG ROAD,Resale,Strata,98,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,1278000
THE CALYPSO,"1,259.39",Nov-20,UPPER EAST COAST ROAD,Resale,Strata,117,Apartment,1,Freehold,16,Outside Central Region,01 to 05,1407000
TANGLIN VIEW,871.88,Jun-22,PRINCE CHARLES CRESCENT,Resale,Strata,81,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,01 to 05,1340000
THE SEAFRONT ON MEYER,"1,603.84",Apr-23,MEYER ROAD,Resale,Strata,149,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3680000
GUILLEMARD EDGE,559.73,Nov-20,LORONG 30 GEYLANG,Resale,Strata,52,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,770000
LENTORIA,731.95,Mar-24,LENTOR HILLS ROAD,New Sale,Strata,68,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,1459000
PALM GARDENS,"1,205.57",Jan-22,HONG SAN WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05,958000
PARC EMILY,548.96,Mar-23,MOUNT EMILY ROAD,Resale,Strata,51,Condominium,1,Freehold,9,Core Central Region,01 to 05,1050000
PALM GARDENS,958,Aug-22,HONG SAN WALK,Resale,Strata,89,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,06 to 10,950000
VIZ AT HOLLAND,"2,518.78",Jul-22,QUEENSWAY,Resale,Strata,234,Condominium,1,Freehold,10,Core Central Region,11 to 15,4100000
PARC CLEMATIS,"1,076.4",Dec-23,JALAN LEMPENG,Sub Sale,Strata,100.0,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,06 to 10,2370000
JADESCAPE,764.24,Sep-24,SHUNFU ROAD,Resale,Strata,71.0,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20,1704000
IRWELL HILL RESIDENCES,613.55,Jun-22,IRWELL HILL,New Sale,Strata,57,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,26 to 30,1761000
PEOPLE'S PARK COMPLEX,"1,119.46",Feb-23,PARK ROAD,Resale,Strata,104,Apartment,1,99 yrs lease commencing from 1968,1,Rest of Central Region,11 to 15,1060000
UPTOWN @ FARRER,"1,001.05",Oct-21,PERUMAL ROAD,New Sale,Strata,93,Apartment,1,99 yrs lease commencing from 2017,8,Rest of Central Region,16 to 20,1950000
MY MANHATTAN,"1,603.84",Apr-21,SIMEI STREET 3,Resale,Strata,149,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15,2000000
CAIRNHILL RESIDENCES,"1,173.28",Apr-21,CAIRNHILL CIRCLE,Resale,Strata,109,Apartment,1,Freehold,9,Core Central Region,11 to 15,2680000
EVELYN MANSIONS,796.54,Sep-20,EVELYN ROAD,Resale,Strata,74,Apartment,1,Freehold,11,Core Central Region,01 to 05,1340000
AFFINITY AT SERANGOON,538.2,May-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,50,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,923888
THE BOTANY AT DAIRY FARM,"1,033.34",Jun-24,DAIRY FARM WALK,New Sale,Strata,96,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05,2045000
NORMANTON PARK,656.6,Jan-21,NORMANTON PARK,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,1187199
CASTLE GREEN,947.23,Jun-22,YIO CHU KANG ROAD,Resale,Strata,88,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,01 to 05,950000
THE CASCADIA,"1,496.2",May-24,BUKIT TIMAH ROAD,Resale,Strata,139,Condominium,1,Freehold,21,Rest of Central Region,06 to 10,3338900
PASIR RIS 8,"1,022.58",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05,1642000
PARC RIVIERA,462.85,Dec-23,WEST COAST VALE,Resale,Strata,43.0,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,26 to 30,795000
D'NEST,753.48,Aug-24,PASIR RIS GROVE,Resale,Strata,70.0,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15,1060000
IRWELL HILL RESIDENCES,656.6,Oct-22,IRWELL HILL,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,31 to 35,1985000
EMERALD OF KATONG,624.31,Nov-24,JALAN TEMBUSU,New Sale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,16 to 20,1827000
BRADDELL VIEW,"1,797.59",Nov-22,BRADDELL HILL,Resale,Strata,167,Apartment,1,103 yrs lease commencing from 1977,20,Rest of Central Region,01 to 05,1920888
NORMANTON PARK,635.08,Dec-24,NORMANTON PARK,Sub Sale,Strata,59.0,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,1215000
PRINCIPAL GARDEN,484.38,Mar-21,PRINCE CHARLES CRESCENT,Resale,Strata,45,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,16 to 20,880000
THE WATERSIDE,"2,400.37",Jul-21,TANJONG RHU ROAD,Resale,Strata,223,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,3850000
THE MAYFAIR,"1,227.1",Mar-23,JURONG EAST STREET 32,Resale,Strata,114,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,16 to 20,1340000
THE SAIL @ MARINA BAY,"1,033.34",Dec-23,MARINA BOULEVARD,Resale,Strata,96.0,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,11 to 15,2250000
RESIDENTIAL APARTMENTS,"1,140.98",May-21,DRAYCOTT DRIVE,Resale,Strata,106,Apartment,1,Freehold,10,Core Central Region,01 to 05,2400000
JADESCAPE,"1,646.89",May-21,SHUNFU ROAD,New Sale,Strata,153,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05,2824000
TREVISTA,"1,140.98",Sep-22,LORONG 3 TOA PAYOH,Resale,Strata,106,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,26 to 30,1930000
MIDTOWN MODERN,"1,065.64",Mar-21,TAN QUEE LAN STREET,New Sale,Strata,99,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,16 to 20,2673000
THE RESERVE RESIDENCES,"1,474.67",May-23,JALAN ANAK BUKIT,New Sale,Strata,137,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,06 to 10,3521508
LENTOR MANSION,527.44,Mar-24,LENTOR GARDENS,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,06 to 10,1215000
REGENT GROVE,925.7,Aug-22,CHOA CHU KANG NORTH 7,Resale,Strata,86,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,11 to 15,865000
KASSIA,925.7,Jul-24,FLORA DRIVE,New Sale,Strata,86,Condominium,1,Freehold,17,Outside Central Region,06 to 10,1825000
ONE HOLLAND VILLAGE RESIDENCES,"1,097.93",Jan-23,HOLLAND VILLAGE WAY,New Sale,Strata,102,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,16 to 20,2925000
TREASURE AT TAMPINES,"1,237.86",May-21,TAMPINES LANE,New Sale,Strata,115,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1705000
PASIR RIS 8,775.01,Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10,1274000
THE TRILINQ,"1,345.5",May-24,JALAN LEMPENG,Resale,Strata,125,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,26 to 30,2350000
RIVERTREES RESIDENCES,947.23,Dec-21,FERNVALE CLOSE,Resale,Strata,88,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,06 to 10,1188000
THE FLORENCE RESIDENCES,936.47,May-24,HOUGANG AVENUE 2,Sub Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1698000
NORTHVALE,688.9,Dec-24,CHOA CHU KANG LOOP,Resale,Strata,64.0,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05,810000
PARC BOTANNIA,505.91,Sep-23,FERNVALE STREET,Resale,Strata,47.0,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20,800000
IRWELL HILL RESIDENCES,656.6,May-21,IRWELL HILL,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,16 to 20,1806000
THE MINTON,"1,496.2",Aug-20,HOUGANG STREET 11,Resale,Strata,139,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05,1583000
SUITES AT BUKIT TIMAH,516.67,Apr-22,JALAN JURONG KECHIL,Resale,Strata,48,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,870000
PENROSE,645.84,Dec-24,SIMS DRIVE,Sub Sale,Strata,60.0,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,11 to 15,1388888
TREASURE AT TAMPINES,947.23,Oct-24,TAMPINES LANE,Resale,Strata,88.0,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1700000
GEM RESIDENCES,979.52,Apr-24,LORONG 5 TOA PAYOH,Sub Sale,Strata,91,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,26 to 30,1750000
MIDTOWN MODERN,"1,808.35",Jul-22,TAN QUEE LAN STREET,New Sale,Strata,168,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,4804470
PARC OLYMPIA,645.84,May-24,FLORA DRIVE,Resale,Strata,60,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10,850000
MORI,710.42,Dec-21,GUILLEMARD ROAD,New Sale,Strata,66,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,1250000
CORALS AT KEPPEL BAY,"2,777.11",Dec-21,KEPPEL BAY DRIVE,Resale,Strata,258,Condominium,1,99 yrs lease commencing from 2007,4,Rest of Central Region,01 to 05,7200000
AVENUE SOUTH RESIDENCE,656.6,Dec-20,SILAT AVENUE,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,1344000
RIVER PLACE,"1,722.24",Nov-24,HAVELOCK ROAD,Resale,Strata,160.0,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,06 to 10,2800000
GLENDALE PARK,"1,248.62",Mar-24,HILLVIEW AVENUE,Resale,Strata,116,Condominium,1,Freehold,23,Outside Central Region,06 to 10,2050000
WATERSCAPE AT CAVENAGH,"1,302.44",Jan-22,CAVENAGH ROAD,Resale,Strata,121,Apartment,1,Freehold,9,Core Central Region,01 to 05,2450000
UE SQUARE,"1,054.87",Sep-23,RIVER VALLEY ROAD,Resale,Strata,98.0,Apartment,1,929 yrs lease commencing from 1953,9,Core Central Region,06 to 10,2215500
LENTOR MANSION,785.77,Mar-24,LENTOR GARDENS,New Sale,Strata,73,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05,1784000
GRAND DUNMAN,775.01,Sep-23,DUNMAN ROAD,New Sale,Strata,72.0,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,2047000
RIVERFRONT RESIDENCES,516.67,Dec-23,HOUGANG AVENUE 7,Sub Sale,Strata,48.0,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,870000
FORETT@BUKIT TIMAH,742.72,Nov-20,TOH TUCK ROAD,New Sale,Strata,69,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1422000
HIGH PARK RESIDENCES,871.88,Sep-24,FERNVALE ROAD,Resale,Strata,81.0,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25,1300000
CAPE ROYALE,"1,905.23",Nov-23,COVE WAY,Resale,Strata,177.0,Condominium,1,99 yrs lease commencing from 2008,4,Core Central Region,11 to 15,4204000
THE MYST,678.13,Oct-23,UPPER BUKIT TIMAH ROAD,New Sale,Strata,63.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,11 to 15,1473000
ECO,548.96,Mar-22,BEDOK SOUTH AVENUE 3,Resale,Strata,51,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15,765000
PARC BOTANNIA,775.01,Apr-22,FERNVALE STREET,Sub Sale,Strata,72,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,01 to 05,1153000
THE ARC AT DRAYCOTT,"1,270.15",Nov-21,DRAYCOTT DRIVE,Resale,Strata,118,Apartment,1,Freehold,10,Core Central Region,16 to 20,3250000
RIVIERE,"1,173.28",Jun-22,JIAK KIM STREET,New Sale,Strata,109,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,3068000
THREE THREE ROBIN,"1,582.31",Jul-23,ROBIN ROAD,Resale,Strata,147.0,Apartment,1,Freehold,10,Core Central Region,06 to 10,3900000
KI RESIDENCES AT BROOKVALE,979.52,Jul-21,BROOKVALE DRIVE,New Sale,Strata,91,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10,1791000
QUEENS PEAK,441.32,Jun-24,DUNDEE ROAD,Resale,Strata,41,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,21 to 25,993888
RIVERSOUND RESIDENCE,"1,162.51",Jun-21,SENGKANG EAST AVENUE,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10,1260000
SILVERSEA,"1,646.89",Jun-22,MARINE PARADE ROAD,Resale,Strata,153,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,16 to 20,3541000
HILLHAVEN,678.13,Jun-24,HILLVIEW RISE,New Sale,Strata,63,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,16 to 20,1474470
ONE PEARL BANK,699.66,Dec-22,PEARL BANK,New Sale,Strata,65,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,36 to 40,2105000
THE MEYERISE,"1,280.92",Feb-21,MEYER ROAD,Resale,Strata,119,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,2628000
LENTOR MODERN,"1,130.22",Nov-23,LENTOR CENTRAL,New Sale,Strata,105.0,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,01 to 05,2228000
RIVER PLACE,785.77,Dec-22,HAVELOCK ROAD,Resale,Strata,73,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,06 to 10,1300000
PERFECT TEN,796.54,Feb-23,BUKIT TIMAH ROAD,New Sale,Strata,74,Apartment,1,Freehold,10,Core Central Region,16 to 20,2536500
TREASURE AT TAMPINES,678.13,Nov-20,TAMPINES LANE,New Sale,Strata,63,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,971000
KEMBANGAN COURT,893.41,Feb-23,JALAN MASJID,Resale,Strata,83,Apartment,1,Freehold,14,Outside Central Region,01 to 05,1100000
TREESCAPE,"1,011.82",Jul-22,LORONG N TELOK KURAU,Resale,Strata,94,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1330000
YISHUN SAPPHIRE,"1,184.04",Aug-23,CANBERRA DRIVE,Resale,Strata,110.0,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,11 to 15,1188000
THE CORNWALL,"2,551.07",Oct-24,CORNWALL GARDENS,Resale,Strata,237.0,Condominium,1,Freehold,10,Core Central Region,01 to 05,4480000
AIRSTREAM,495.14,Aug-21,ST. MICHAEL'S ROAD,Resale,Strata,46,Apartment,1,Freehold,12,Rest of Central Region,01 to 05,680000
BALLOTA PARK CONDOMINIUM,"1,829.88",Dec-23,MARIAM WAY,Resale,Strata,170.0,Condominium,1,Freehold,17,Outside Central Region,01 to 05,1698888
RIVER ISLES,"1,076.4",Dec-23,EDGEDALE PLAINS,Resale,Strata,100,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15,1400000
RIVERWALK APARTMENTS,"1,614.6",May-24,UPPER CIRCULAR ROAD,Resale,Strata,150,Apartment,1,99 yrs lease commencing from 1980,1,Rest of Central Region,16 to 20,2525000
THE RESERVE RESIDENCES,"1,162.51",Jun-23,JALAN ANAK BUKIT,New Sale,Strata,108.0,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,06 to 10,3034160
NORWOOD GRAND,624.31,Oct-24,CHAMPIONS WAY,New Sale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05,1283000
NORMANTON PARK,"1,087.16",Jul-22,NORMANTON PARK,New Sale,Strata,101,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,2036000
MORI,710.42,Jun-22,GUILLEMARD ROAD,New Sale,Strata,66,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,1456000
THE TRE VER,624.31,Dec-23,POTONG PASIR AVENUE 1,Sub Sale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,06 to 10,1220000
SUMMERHILL,"1,603.84",Mar-22,HUME AVENUE,Resale,Strata,149,Condominium,1,Freehold,21,Outside Central Region,06 to 10,2448000
HYLL ON HOLLAND,656.6,Oct-21,HOLLAND ROAD,New Sale,Strata,61,Condominium,1,Freehold,10,Core Central Region,06 to 10,1599300
ONE PEARL BANK,742.72,May-21,PEARL BANK,New Sale,Strata,69,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,36 to 40,1984000
THE CREEK @ BUKIT,"1,119.46",Aug-23,TOH TUCK ROAD,Resale,Strata,104.0,Condominium,1,Freehold,21,Rest of Central Region,01 to 05,2000000
KERRISDALE,"1,259.39",Sep-22,STURDEE ROAD,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 1998,8,Rest of Central Region,11 to 15,1710000
D'LEEDON,"1,162.51",Aug-21,LEEDON HEIGHTS,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,06 to 10,2018000
WATERFRONT WAVES,"1,517.72",May-24,BEDOK RESERVOIR ROAD,Resale,Strata,141,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15,2500000
INFINI AT EAST COAST,"1,065.64",Jan-22,EAST COAST ROAD,New Sale,Strata,99,Apartment,1,Freehold,15,Outside Central Region,01 to 05,2073000
AMBER PARK,"1,302.44",May-22,AMBER GARDENS,New Sale,Strata,121,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3304000
MORI,710.42,May-22,GUILLEMARD ROAD,New Sale,Strata,66,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,1373000
THE ANTARES,882.65,May-22,MATTAR ROAD,New Sale,Strata,82,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05,1671550
SOUTHAVEN I,"1,119.46",May-23,HINDHEDE WALK,Resale,Strata,104,Condominium,1,99 yrs lease commencing from 1994,21,Outside Central Region,01 to 05,1200000
THE SOVEREIGN,"2,637.18",Nov-23,MEYER ROAD,Resale,Strata,245.0,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,6500000
THE BOTANY AT DAIRY FARM,"1,291.68",Jun-24,DAIRY FARM WALK,New Sale,Strata,120,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,06 to 10,2587000
